bank_partner,country_code,currency_supported,payment_rail,average_completion_time_in_seconds,number_of_failures_per_thousand_transactions,active,routing_code,operating_hours,is_weekend,cost_in_us_cents,discounted_cost_in_us_cents,discount_rule,transaction_date
Punjab National Bank,IN,INR,RTGS,933,18,True,IN3291092359,00:00-23:59,False,2677,2677,,2025-04-08 19:39:40
Landesbank Hessen-Th�ringen,DE,EUR,ELIXIR,580,3,False,XFVJGB7W,08:00-16:00,False,241,241,,2025-04-21 09:38:08
Punjab National Bank,IN,INR,RTGS,2697,20,True,IN5293241226,00:00-23:59,True,2520,1764,30% weekend discount,2025-01-25 16:25:23
KeyBank,US,USD,ACH,1754,20,True,384711306,00:00-23:59,True,86,86,,2025-01-18 00:12:30
DZ Bank,DE,EUR,ELIXIR,1522,5,True,FQTDGBBI2HX,08:00-16:00,True,169,169,,2025-04-20 16:06:39
New Bank of India,IN,INR,NEFT,2605,19,True,IN1472987996,08:00-19:00,True,124,87,30% weekend discount,2025-02-08 19:38:49
Guyana Bank,GY,RWF,DOMESTIC_RAIL,3092,9,True,KJQNGBYE,08:00-17:00,False,249,249,,2025-02-07 07:25:30
Postbank,DE,EUR,SEPA,2663,6,True,TKIUGBSYFNG,00:00-23:59,False,81,81,,2025-03-26 00:47:10
ING,DE,EUR,SEPA,3503,11,True,PPMEGB757UI,00:00-23:59,False,184,84,$1 off per 50 txn,2025-02-17 13:49:47
Guyana Bank,GY,RWF,DOMESTIC_RAIL,1748,2,True,IYGOGBQ5,08:00-17:00,False,1451,1451,,2025-04-14 15:05:37
Deutsche Kreditbank Aktiengesellschaft,DE,EUR,ELIXIR,2267,19,False,YGBFGBQFXTB,08:00-16:00,False,250,250,,2025-01-30 13:47:34
First Direct,UK,GBP,DIRECT,1789,9,True,NDQRGBJ7X4Y,00:00-23:59,False,126,126,,2025-01-27 09:46:52
Central Bank of India,IN,INR,NEFT,3299,9,True,IN7134841139,08:00-19:00,False,119,119,,2025-01-09 08:31:50
Indian Overseas Bank,IN,INR,IMPS,1595,13,True,IN3625753617,00:00-23:59,False,1683,1683,,2025-02-28 15:14:04
Santander UK,UK,GBP,DIRECT,405,19,True,PGSDGBDJ,00:00-23:59,False,1232,1232,,2025-01-21 10:08:40
Royal Bank of Scotland,UK,GBP,CHAPS,3089,19,True,YSZVGB3I1XH,08:00-16:00,True,292,292,,2025-03-02 18:32:00
Hamburg Commercial Bank,DE,EUR,ELIXIR,2958,2,True,XOWCGBV5,08:00-16:00,True,319,223,30% weekend discount,2025-03-02 13:48:12
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2059,9,False,JGKGGBOR,08:00-17:00,False,181,181,,2025-01-30 21:30:52
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,1111,6,False,KGDNGBT2ME0,08:00-17:00,False,163,163,,2025-02-04 09:58:24
Community Bank,US,USD,CHIPS,467,8,False,858741710,00:00-23:59,False,1197,1097,$1 off per 50 txn,2025-04-21 04:27:15
Central Bank of India,IN,INR,NEFT,3557,0,True,IN5611793400,08:00-19:00,True,155,155,,2025-02-22 19:08:59
Bank of the West,US,USD,ACH,3532,0,True,022044731,00:00-23:59,True,211,211,,2025-04-19 07:43:55
Lloyds Banking Group,UK,GBP,DIRECT,1947,11,True,LTZNGB2Z,00:00-23:59,True,33,23,30% weekend discount,2025-04-20 20:27:21
Guyana Bank,GY,RWF,DOMESTIC_RAIL,3433,4,True,EOQPGB8R,08:00-17:00,False,1347,1347,,2025-01-08 23:07:44
Barclays,UK,GBP,DIRECT,1730,12,True,KWXUGB72,00:00-23:59,False,1096,1096,,2025-04-03 13:01:01
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,1654,11,True,UHEUGBU7,08:00-17:00,True,271,271,,2025-01-18 01:14:08
US Bank,US,USD,CHIPS,2605,2,True,970095157,00:00-23:59,False,1075,1075,,2025-01-24 07:18:16
Fidelity Bank,US,USD,Fedwire,2142,3,True,100745537,08:30-17:00,True,2578,2578,,2025-03-08 19:28:34
Deutsche Kreditbank Aktiengesellschaft,DE,EUR,ELIXIR,309,1,True,XFKRGBAN,08:00-16:00,False,327,327,,2025-02-25 10:27:41
Alliance Bank,US,USD,Fedwire,2779,15,True,122621546,08:30-17:00,False,2683,2683,,2025-01-30 04:40:23
N26,DE,EUR,SEPA,1754,4,True,APTQGBI9,00:00-23:59,False,206,206,,2025-04-17 07:02:03
Liberty Bank,US,USD,CHIPS,2847,6,True,126932883,00:00-23:59,False,1053,1053,,2025-04-09 09:06:25
National Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,1079,10,True,CZPQGBRZ,08:00-17:00,False,268,268,,2025-04-01 00:48:48
Guyana Bank,GY,RWF,DOMESTIC_RAIL,721,17,False,XVMQGBEM1EN,08:00-17:00,False,129,129,,2025-03-31 01:54:18
Barclays,UK,GBP,DIRECT,1213,0,True,ZCRHGBKSKQ9,00:00-23:59,False,1129,1129,,2025-02-12 20:11:37
Sparkasse,DE,EUR,SEPA,3159,0,True,ZLZKGBOX0VK,00:00-23:59,True,185,185,,2025-02-16 21:45:44
Atom Bank PLC,UK,USD,CHAPS,2709,11,True,ISUNGBDINJS,08:00-16:00,True,1324,927,30% weekend discount,2025-02-15 08:28:03
National Kuwait Bank,KW,EUR,DOMESTIC_RAIL,1685,1,False,IHVUGB6WIV1,08:00-17:00,False,1335,1335,,2025-03-10 17:24:32
Great Western Bank,US,USD,CHIPS,2684,13,True,463423009,00:00-23:59,False,2169,2169,,2025-03-25 18:57:18
ICICI Bank,IN,INR,IMPS,3573,10,True,IN7472807491,00:00-23:59,False,1588,1588,,2025-01-16 03:55:31
Deutsche Bank,DE,EUR,ELIXIR,3572,10,True,ZOBAGBBB,08:00-16:00,False,278,278,,2025-01-16 13:19:25
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,1060,15,False,HRVZGBDIQBN,08:00-17:00,False,138,138,,2025-01-08 21:04:30
Midwest Bank,US,USD,ACH,805,11,True,634140795,00:00-23:59,False,70,70,,2025-03-14 06:53:47
Bank of Ireland,UK,GBP,CHAPS,1508,6,True,YBVVGBDH5IN,08:00-16:00,False,264,264,,2025-01-09 18:53:28
Royal Bank of Scotland,UK,GBP,DIRECT,937,17,False,LXRRGB3P,00:00-23:59,False,150,150,,2025-01-20 06:37:28
Guyana Bank,GY,RWF,DOMESTIC_RAIL,654,6,False,VZBSGBCC,08:00-17:00,False,120,120,,2025-01-29 05:29:57
Community Bank,US,USD,Fedwire,2197,11,True,162432186,08:30-17:00,False,2671,2671,,2025-04-10 12:48:27
Nationwide,UK,EUR,DIRECT,3430,14,True,YNGQGBK15GU,00:00-23:59,False,1155,1055,$1 off per 50 txn,2025-02-06 23:13:07
South Dakota Bank,US,GBP,CHIPS,714,4,True,287794949,00:00-23:59,False,2146,2146,,2025-01-14 04:03:18
First Bank,US,USD,CHIPS,3413,11,True,222300472,00:00-23:59,False,1119,1069,50 cent discount,2025-03-20 11:59:10
HSBC,UK,GBP,CHAPS,3539,5,True,ZVKWGB35,08:00-16:00,False,235,235,,2025-02-21 09:34:09
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,2562,12,True,RMDGGBXP62T,08:00-17:00,True,225,225,,2025-03-01 17:10:47
Sparkasse,DE,EUR,ELIXIR,2231,14,True,TVOZGBBR68R,08:00-16:00,False,309,309,,2025-03-12 03:31:31
Yes Bank,IN,INR,NEFT,2624,18,True,IN9196737653,08:00-19:00,True,225,225,,2025-03-22 19:46:18
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2269,7,True,CUHCGBGTH6J,08:00-17:00,True,221,221,,2025-03-08 17:23:42
Guyana Bank,GY,RWF,DOMESTIC_RAIL,428,17,True,TOIAGBZ3,08:00-17:00,True,177,177,,2025-03-08 05:59:19
Guyana Bank,GY,RWF,DOMESTIC_RAIL,786,18,True,GECRGB98,08:00-17:00,False,132,132,,2025-01-21 10:16:38
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,1944,17,True,DEVIGBH1,08:00-17:00,False,147,147,,2025-04-09 16:32:41
Landesbank Hessen-Th�ringen,DE,EUR,ELIXIR,367,16,True,HGCGGB7Z,08:00-16:00,False,254,254,,2025-03-11 16:03:09
Bank of Ireland,UK,GBP,DIRECT,1727,14,True,DGOVGBUO,00:00-23:59,False,1199,1199,,2025-04-09 08:41:36
First National Bank of Omaha,US,USD,CHIPS,3388,2,False,725208682,00:00-23:59,False,1063,1063,,2025-01-20 21:54:03
Avenues Bank,US,USD,CHIPS,2603,8,True,377367508,00:00-23:59,True,1094,1094,,2025-03-16 06:35:27
Bank of America,US,USD,ACH,3206,11,True,911987619,00:00-23:59,False,1119,1119,,2025-04-14 03:55:41
First National Bank,US,USD,Fedwire,1008,1,True,899668366,08:30-17:00,False,2562,2562,,2025-02-19 20:24:41
Punjab National Bank,IN,INR,IMPS,786,20,True,IN7730578658,00:00-23:59,True,1653,1653,,2025-03-30 19:23:26
Siemens Bank GmbH,DE,EUR,ELIXIR,755,13,True,VKBFGB8A,08:00-16:00,True,164,164,,2025-01-11 21:56:59
KeyBank,US,USD,CHIPS,2354,13,True,108454117,00:00-23:59,False,1144,1144,,2025-01-16 10:05:00
Bank of the West,US,USD,ACH,1837,3,True,160005235,00:00-23:59,False,202,202,,2025-01-02 04:47:09
ING,DE,EUR,SEPA,2434,13,True,FYMSGBS5GJS,00:00-23:59,False,170,170,,2025-04-11 06:12:24
Deutsche Kreditbank Aktiengesellschaft,DE,EUR,ELIXIR,3190,4,True,UIISGB21IPS,08:00-16:00,False,190,190,,2025-03-05 21:52:45
Metro Bank,UK,GBP,DIRECT,3040,2,True,EZJVGB6N,00:00-23:59,False,170,170,,2025-03-05 18:22:45
Guyana Bank,GY,RWF,DOMESTIC_RAIL,616,14,True,TONPGB1LQKO,08:00-17:00,False,240,240,,2025-01-23 15:23:26
National Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,1363,1,True,CUNEGBRG,08:00-17:00,False,135,135,,2025-04-15 11:26:04
Commerzbank,DE,EUR,ELIXIR,3016,16,True,KOCAGBN74WG,08:00-16:00,False,296,296,,2025-01-14 22:59:35
Bank of Baroda,IN,INR,IMPS,2568,15,True,IN2202591579,00:00-23:59,False,1636,1636,,2025-01-10 01:25:07
Indian Bank,IN,INR,UPI,744,0,False,IN5376478071,00:00-23:59,False,71,71,,2025-04-14 21:54:20
Barclays Bank USA,US,USD,ACH,1842,7,True,250863441,00:00-23:59,False,193,193,,2025-02-12 03:43:17
Punjab National Bank,IN,INR,RTGS,843,20,False,IN3863687406,00:00-23:59,False,2511,2511,,2025-02-07 10:27:32
NatWest,UK,GBP,DIRECT,2707,16,True,AROSGBQ9B4E,00:00-23:59,False,167,167,,2025-03-17 19:51:40
Chase,US,USD,ACH,2352,17,False,502604107,00:00-23:59,False,154,154,,2025-03-13 08:03:48
New Bank of India,IN,INR,RTGS,3181,6,True,IN6220125253,00:00-23:59,True,2550,1785,30% weekend discount,2025-01-19 22:01:18
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,429,19,False,ZSOYGBLU,08:00-17:00,False,137,137,,2025-03-17 04:54:07
Halifax,UK,GBP,CHAPS,1905,2,False,ULPKGBYX,08:00-16:00,False,343,343,,2025-02-11 07:38:50
Nationwide,UK,GBP,CHAPS,1437,3,True,SZKVGBGG5P5,08:00-16:00,False,187,187,,2025-04-04 17:30:45
Bank of Maharashtra,IN,INR,UPI,645,0,True,IN8171538191,00:00-23:59,False,91,91,,2025-02-24 01:44:25
Andhra Bank,IN,INR,IMPS,3131,19,True,IN0523677889,00:00-23:59,False,1599,1599,,2025-03-28 14:08:13
HDFC Bank,IN,INR,RTGS,3527,12,False,IN2109631525,00:00-23:59,False,2662,2662,,2025-02-26 08:32:38
Santander UK,UK,GBP,CHAPS,819,3,True,EEFMGBJYV9Z,08:00-16:00,False,257,257,,2025-04-09 19:39:14
First Federal Bank of Chicago,US,USD,ACH,3133,0,True,074331182,00:00-23:59,False,196,196,,2025-04-17 09:49:54
Fidor Bank,DE,EUR,SEPA,1714,18,True,FAIOGBMHNXS,00:00-23:59,False,111,111,,2025-02-27 12:14:41
Deutsche Bank,DE,EUR,ELIXIR,977,6,True,AYDWGBZ9MFA,08:00-16:00,False,205,205,,2025-03-10 13:08:00
Barclays,UK,GBP,CHAPS,1691,17,True,AQVEGBS4,08:00-16:00,False,235,235,,2025-01-17 23:07:13
Indian Overseas Bank,IN,INR,RTGS,3551,4,True,IN0813390965,00:00-23:59,False,2528,2528,,2025-04-07 04:19:22
TD Bank,US,USD,CHIPS,1710,9,True,768837294,00:00-23:59,False,1016,1016,,2025-03-03 11:48:48
ABC International Bank plc,UK,GBP,CHAPS,1970,6,True,BNRLGBPK,08:00-16:00,False,1390,1390,,2025-04-02 00:18:31
Axis Bank,IN,INR,RTGS,1992,17,True,IN7373780505,00:00-23:59,False,2694,2694,,2025-03-31 05:26:31
Lloyds Banking Group,UK,GBP,CHAPS,2176,5,True,YTPZGB61JBQ,08:00-16:00,False,186,186,,2025-03-27 01:26:49
Metro Bank,UK,GBP,DIRECT,1331,20,True,CCPVGBAPIYJ,00:00-23:59,False,191,191,,2025-03-07 01:57:21
IndusInd Bank,IN,INR,IMPS,2497,9,False,IN6779824446,00:00-23:59,True,1593,1593,,2025-01-11 04:02:36
National Kuwait Bank,KW,EUR,DOMESTIC_RAIL,1502,1,True,ZBJYGBQB,08:00-17:00,True,1344,941,30% weekend discount,2025-01-19 17:54:56
Siemens Bank GmbH,DE,EUR,SEPA,3582,20,True,HXVWGBMKH64,00:00-23:59,False,160,160,,2025-03-11 02:53:33
Punjab National Bank,IN,INR,IMPS,323,8,True,IN5889003763,00:00-23:59,False,2846,2846,,2025-03-10 04:21:08
Landesbank Hessen-Th�ringen,DE,EUR,SEPA,603,19,True,XWXBGB1UE6C,00:00-23:59,True,158,158,,2025-02-23 22:18:22
Union Bank of India,IN,INR,IMPS,2688,7,True,IN1752083069,00:00-23:59,False,1611,1611,,2025-03-25 18:47:15
Alliance Bank,US,USD,CHIPS,1049,16,True,148068683,00:00-23:59,True,1109,1109,,2025-01-18 11:38:05
Community Bank,US,USD,CHIPS,1911,16,True,467512967,00:00-23:59,True,1048,1048,,2025-02-22 09:39:45
Siemens Bank GmbH,DE,EUR,SEPA,2003,19,True,TQBXGBBCMJU,00:00-23:59,True,59,59,,2025-01-04 21:09:41
TARGOBANK,DE,EUR,SEPA,590,9,True,KYFEGB4Q,00:00-23:59,False,162,162,,2025-02-13 03:24:34
Citizens Bank,US,USD,Fedwire,3242,12,True,096628463,08:30-17:00,False,2581,2581,,2025-01-02 10:58:28
New Bank of India,IN,INR,RTGS,2451,8,True,IN6418950989,00:00-23:59,True,2639,2639,,2025-03-01 19:33:26
Halifax,UK,GBP,CHAPS,3592,5,True,ZFNCGBVXX2N,08:00-16:00,False,173,173,,2025-02-28 12:26:27
Punjab and Sind Bank,IN,INR,RTGS,2596,7,True,IN8435103591,00:00-23:59,False,2590,2590,,2025-02-20 17:40:27
Volkswagen Bank,DE,EUR,ELIXIR,1434,9,True,PPTPGBG28XP,08:00-16:00,False,251,251,,2025-01-23 17:14:15
DZ Bank,DE,EUR,ELIXIR,324,6,True,SYNVGBQ5,08:00-16:00,False,203,203,,2025-01-17 02:15:23
Bank of the West,US,USD,ACH,3027,0,True,507294702,00:00-23:59,False,130,130,,2025-03-12 17:29:54
Halifax,UK,GBP,DIRECT,2304,5,True,YEASGBQ3,00:00-23:59,True,1233,1233,,2025-03-02 01:13:18
State Bank of India (SBI),IN,INR,NEFT,688,11,False,IN5773787234,08:00-19:00,True,225,225,,2025-04-06 07:40:26
Yes Bank,IN,INR,IMPS,1166,10,True,IN5544291581,00:00-23:59,False,1548,1548,,2025-03-24 11:07:13
Volkswagen Bank,DE,EUR,ELIXIR,1016,8,False,EBVUGBEPWRB,08:00-16:00,False,273,273,,2025-01-13 12:25:05
State Bank of India (SBI),IN,INR,NEFT,2576,19,True,IN2287120074,08:00-19:00,True,107,75,30% weekend discount,2025-03-22 20:36:20
First National Bank of Omaha,US,USD,Fedwire,3094,9,True,737530347,08:30-17:00,True,2653,2653,,2025-01-18 10:03:28
Andhra Bank,IN,INR,IMPS,2560,7,True,IN8777107588,00:00-23:59,False,1667,1667,,2025-01-13 01:57:59
Republic Bank,US,USD,Fedwire,1447,6,True,824471213,08:30-17:00,True,2695,2695,,2025-01-25 19:04:22
Punjab and Sind Bank,IN,INR,NEFT,1515,14,True,IN4659710049,08:00-19:00,False,215,215,,2025-02-17 20:06:20
Santander UK,UK,USD,CHAPS,1926,5,True,JTYBGB9HTCA,08:00-16:00,False,1271,1271,,2025-02-27 23:48:29
HDFC Bank,IN,INR,RTGS,3180,2,True,IN9276351171,00:00-23:59,False,2598,2598,,2025-03-18 12:32:28
Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,1130,16,True,ZMNKGB99,08:00-17:00,False,298,298,,2025-01-08 10:07:50
National Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,410,14,True,LWHMGBVO,08:00-17:00,True,159,159,,2025-01-05 07:20:29
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,1845,6,True,EDYMGBGU,08:00-17:00,False,143,143,,2025-01-20 04:14:56
ABC International Bank plc,UK,GBP,DIRECT,1463,9,True,UCHAGB4F,00:00-23:59,True,66,66,,2025-04-13 18:08:17
